Wrike_ID,Project_Names
IEAEINT7I5BDRUN4,Q382 - Skid and Drawbar Certification
IEAEINT7I5BAODCR,Q380 - RHS Midrack Capacity
IEAEINT7I5AO2YGA,Q375 - Structural Certification of Tanks
IEAEINT7I47ZYSIL,Q370 - Trinity pulley beam certification
IEAEINT7I472WF6W,Q369 - Strategic Dust Program (EOI-01454)
IEAEINT7I472VXCI,Q368 - Engineering and Consultancy Dust Program (EOI-01453)
IEAEINT7I43RY7NE,Q322 - SHMS for coal handling tunnel
IEAEINT7I4XVP2N2,J253 - Foreign Contaminants Detection on Conveyor Belts
IEAEINT7I42NBPKG,J303 - Structural integrity defects proactive mitigation study
IEAEINT7I5BQ2LER,J386 - Verify Plant Design
IEAEINT7I5CBVCUH,Q387 - Design of Temporary Utility Brackets
IEAEINT7I5CFJMTG,Q392 - Boat Lift Certification
IEAEINT7I5CFJNFR,Q391 - Shed Structural Certification
IEAEINT7I5BEI4P4,Q383 - Hitachi EX3600-6 Excavator
IEAEINT7I5CSKK5U,Q399 - Ton Trailer Certification
IEAEINT7I5CSKKOU,Q398 - Balustrade Certification
IEAEINT7I5CL7WF3,Q395 - CAT793D RAC Correlation Study & Front Suspension Pins Fracture Analysis
IEAEINT7I5CTXGUD,Q400 - Cooling Skid Certification
IEAEINT7I5C4ZMKM,Q404 - (ADM)  Pulleys Certification
IEAEINT7I5C3QJIB,My New Project
IEAEINT7I5C3QI6L,My New Project
IEAEINT7I5C3QI2V,My New Project
IEAEINT7I5CYSI5O,J403 - (ADM) Busselton Cable Nets
IEAEINT7I5CLLAQU,Q396 - Snowflake Data Visualisation
IEAEINT7I5CCENRH,G009 - Capability Update
IEAEINT7I4ZLXA5O,J277 - Rail Cleaning Device
IEAEINT7I5B35654,Q389 - Load and Unload Shuttles and Frames FEA
IEAEINT7I5CYTDPW,Q389 - (ADM) Load and Unload Shuttles and Frames FEA
IEAEINT7I5CYTBHL,Q391 - (ADM) Shed Structural Certification
IEAEINT7I5CYS7XI,Q392 - (ADM) Boat Lift Certification
IEAEINT7I5CYS6W7,Q398 - (ADM) Balustrade Certification
IEAEINT7I5CYSTTV,Q399 - (ADM) Ton Trailer Certification
IEAEINT7I5CYSLR5,Q400 - (ADM) Cooling Skid Certification
IEAEINT7I5CYSJQ5,J401 - (ADM) (Updating J194) - FEA - Hitachi ZX135 Front End
IEAEINT7I5CLLAUM,Q397 - Mobile Solution Dust Particulate Detection
IEAEINT7I4Z7NZZZ,J298 - Fatigue Analysis of CAT 793D
IEAEINT7I5CMLTSU,Q398 - CAT793D Front Suspension Lugs-Spikes Fracture Analysis
IEAEINT7I43V7JL5,J324 - BHP CD4 Trunnion Room Drainage
IEAEINT7I5AU7BTG,J378 - PA People frensham school mittagong
IEAEINT7I43RYU52,Q318 - Creation of blueprint for coal handling and processing infrastructure
IEAEINT7I43RYVGR,Q319 - SHMS for the coal handling and processing infrastructure
IEAEINT7I5BKRIT3,Action List
IEAEINT7I5CMTLRR,test
IEAEINT7I5CMU2YU,Q398 - Test Project
IEAEINT7I5CMTGEQ,My New Project
IEAEINT7I5CMTGS6,test
IEAEINT7I5BQWMNV,J384 - Hook Maximum Load Calculation
IEAEINT7I475XJTW,J371 - Trinity Platform Certification
IEAEINT7I5B42LQR,Carlos´s Business Expenses
IEAEINT7I4YTDVX4,J222 - Lifting Pin Certification
IEAEINT7I5AGTQ3B,2. Program Delivery
IEAEINT7I4Z7N2B7,J298 - (ADM) Fatigue Analysis of CAT 793D
IEAEINT7I4VQBDNH,Week 28
IEAEINT7I4VYJ5WT,J242 - Cable Drum Transport Trailer
IEAEINT7I5AGTO3L,2.1 Sales & Marketing -MOS Implementation
IEAEINT7I5AGTQX3,1. Program Definition
IEAEINT7I4UO252D,J208
IEAEINT7I4UO22TC,J2018
IEAEINT7I4XFJ5G7,J249 - Hitachi 170 140 W
IEAEINT7I4UWFYJA,J231 - Plaform TEDQ471
IEAEINT7I4VDAS2A,J236 - Hitachi zx85us-5a
IEAEINT7I4UEAG57,To be Organised
IEAEINT7I4WEEBC5,J243 - Landroller
IEAEINT7I5AGTSYD,2.0 Program Integration
IEAEINT7I4TMC3ZL,Personal
IEAEINT7I4TMKX4Q,Personal
IEAEINT7I4TXQ2WW,1. Initiation
IEAEINT7I4TXQ2WY,3. Development
IEAEINT7I4TXQ2WT,Projects with Phases
IEAEINT7I4TXQ2WX,2. Planning
IEAEINT7I4TXQ2W2,5. Launch
IEAEINT7I4TXQ2WZ,4. Testing
IEAEINT7I4TYHMCF,01 300W PIR
IEAEINT7I4TXQZCV,Created Tasks & Projects
IEAEINT7I4TXQZCR,Carlos Cardenas — deleted user resources
IEAEINT7I4ZAGCFV,Kick-off meeting
IEAEINT7I5AGTPDB,2.7 IT Management
IEAEINT7I4TXQ2WV,Complex Project with Phases
IEAEINT7I5BQ7BW4,Alex Lvov's Business Expenses
IEAEINT7I4UEAHMH,Certifications
IEAEINT7I4UEAHP7,SHM
IEAEINT7I4UEA7IT,Audits
IEAEINT7I4UEBDGS,Structures
IEAEINT7I4UEBCWI,Machinery
IEAEINT7I4UEBD2W,J216MRP001
IEAEINT7I4UEBRWK,J218MRP001
IEAEINT7I4X5DGJN,Y21W49
IEAEINT7I4UHWHTG,Fidel
IEAEINT7I4UHWHPJ,Louis
IEAEINT7I4UHWHNF,Charles
IEAEINT7I4UHWHC4,Leo
IEAEINT7I4UHWHUB,Nick
IEAEINT7I4Z7QA7O,Y22W14
IEAEINT7I4VCVSSK,Week 24
IEAEINT7I4XMW636,J252 - Visy Smithfield Pre-Design
IEAEINT7I4UO2Z3X,Daily Meeting information hand over
IEAEINT7I4UQOHYS,BHP Port Hedland Buildings Structural Inspection
IEAEINT7I47KMRZ7,Iván Escorcia
IEAEINT7I47KMR4W,Juan Duncan
IEAEINT7I5BQWJBG,J385 - Trinity Flown Reflectors
IEAEINT7I5CPZWIY,J394 - (ADM) Racking Engineering
IEAEINT7I42QAV3A,J306 - Incinerator Recovery Conveyor
IEAEINT7I5CO73X4,J390 - (ADM) Training Weapon Trolly
IEAEINT7I4VCXA5F,J234 - CV802 Trestle leg repair
IEAEINT7I4U6AMDT,13 - WWTP SEWAGE - Building WWTP Sewage
IEAEINT7I4U6AK4H,07 - BLD604 - Building Mooka OCRS Warehouse BLD604
IEAEINT7I4U6AMIG,14 - CON-01 - Building Store Room MSF CON-01
IEAEINT7I4YRKNWH,J269 - Truss conveyor structural analysis
IEAEINT7I4UEBICM,J351SHM008
IEAEINT7I4U25YEU,J225
IEAEINT7I4UEAHTH,Design
IEAEINT7I4VXL3RZ,Week 30
IEAEINT7I4UQOJUL,BHP Port Hedland Buildings Structural Integrity Proposal
IEAEINT7I4UAYROG,PI Technical Pull Test
IEAEINT7I4VE5GVM,Week 25
IEAEINT7I44DCNCF,Y22W32
IEAEINT7I4Y5VP4B,Administrative
IEAEINT7I456TJJ7,J344 - (ADM) Client Service Development
IEAEINT7I4VIQBGQ,Week 26
IEAEINT7I4UHWHKL,Alex
IEAEINT7I4VTPMBI,J241 - Visy Recycling-MRF Upgrade
IEAEINT7I4VMBCOM,Week 27
IEAEINT7I42FS4IS,J301 - 5Y Sfty Insp SIM CVI MSF Store BLD505
IEAEINT7I43ZLMGS,Y22W29
IEAEINT7I4ZLXHTF,J281 - CM Canister Driver
IEAEINT7I45CAYRA,J339 - Brandown Structural Analysis
IEAEINT7I45CAY2K,J340 - Resource Co Structural Analysis
IEAEINT7I4V3SFU5,Week 31
IEAEINT7I4V6364P,Week 32
IEAEINT7I4ZAGA6D,J274 - (ADM) RIV Manufacturing
IEAEINT7I4X6RKMD,Meetings
IEAEINT7I4XAWNBZ,Week 35
IEAEINT7I4WB3TLY,Week 33
IEAEINT7I4XY6PFN,Closed projects
IEAEINT7I4ZDIRDL,Administrative
IEAEINT7I4Y4CJ5F,Financial estimates
IEAEINT7I5AWJQHY,J379 - (ADM) GCM Equipment Relocation
IEAEINT7I434GLB6,J294 - Quantitative Based Surface Condition Evaluation
IEAEINT7I4YYOWAU,Structures of projects
IEAEINT7I46ZVBUZ,J358 - (ADM) Hammon Park Jump Park Whale Tale
IEAEINT7I4YYOVZI,Hailrail System Harrybilt
IEAEINT7I4WNGNLV,Week 36
IEAEINT7I43FJ5UB,J314 - StoreMasta Container Design
IEAEINT7I4YQGJUI,J266 - (ADM) CV815 Tunnel Durability Study
IEAEINT7I4WX7JPS,Week 39
IEAEINT7I4YCA4EY,J261 - ROM Bin Durability Study
IEAEINT7I4WX7JNO,Week 38
IEAEINT7I4WSAKI2,Week 37
IEAEINT7I4YYO2WI,Structural Mechanical Certification
IEAEINT7I42D7EDZ,Administrative
IEAEINT7I44W23CX,J337 - (ADM) BHP Buildings Inspections
IEAEINT7I43NJDGG,5Y Sfty Insp CVI Bldg Med Subs
IEAEINT7I42D7D7R,Administrative
IEAEINT7I42D7EG7,Administrative
IEAEINT7I42D7D63,Administrative
IEAEINT7I42D7EHM,Administrative
IEAEINT7I4UVOQFI,Balcony Screen System
IEAEINT7I45DWBOW,J341 - (ADM) FEA - Liebherr A914
IEAEINT7I4W35OVH,Week 40
IEAEINT7I4W35OYA,Week 40
IEAEINT7I4XAD5PX,Week 41
IEAEINT7I44EP3N5,J330 - (ADM) Backing Plate Rack
IEAEINT7I4YGBFHP,Y21W51
IEAEINT7I42NBPQX,J303 - (ADM) Structural integrity defects proactive mitigation study
IEAEINT7I4XAWDE6,Week 34
IEAEINT7I4VJWMYF,J237 - ROM Bin Inspection
IEAEINT7I4YOPSTE,Y21W52
IEAEINT7I4YTDVFQ,J225 - Forklift Bulk Bag Lifting Frame
IEAEINT7I42FS65R,Administrative
IEAEINT7I4YOPSYO,Y22W01
IEAEINT7I4ZGD3K6,Y22W08
IEAEINT7I4XJ4TPP,Week 42
IEAEINT7I4YBLEVZ,J257 - Vent Line Repair
IEAEINT7I4XMRKFI,Week 44
IEAEINT7I45DWB2W,00. Pre work
IEAEINT7I4XYLDFV,Research & Development (RD)
IEAEINT7I4XY6PNL,J255 - Grizzly modification
IEAEINT7I462D7UH,8. Marketing
IEAEINT7I47TG5KF,G005 - J362 Mine Client Lineup Personalized Brochures
IEAEINT7I4XYLLAQ,Structural Health Monitoring (SHM)
IEAEINT7I4XYKXW4,Maintenance & Engineering Governance (MEG)
IEAEINT7I4XYK4PM,Structural & Mechanical Design (SMD)
IEAEINT7I4XYLRJY,Asset Life Extension (ALE)
IEAEINT7I4XYLQN2,Structural & Mechanical Statutory Inspection (SMI)
IEAEINT7I4XYLTZI,Asset Design Compliance (ADC)
IEAEINT7I4XZI7AH,Closed projects
IEAEINT7I4XZI7DB,Closed projects
IEAEINT7I44AHRCT,Y22W31
IEAEINT7I4XZJBLW,Closed projects
IEAEINT7I4XZJBPE,Closed projects
IEAEINT7I4XZJB7D,Closed projects
IEAEINT7I4U6AXE6,28 - BLD061 - Building Pump House NP Admin TK06 BLD061
IEAEINT7I4UOEF42,Review and Approval
IEAEINT7I4VYGHWH,01 - Basic Design
IEAEINT7I4VT6QKX,03 - Modelling
IEAEINT7I4U6AV6X,21 - SR818 - Switchroom CD4 SUBPS6 415V SR818
IEAEINT7I4U6AWOR,24 - SR811 - Switchroom LRP2 Sub 6.6kV SR811
IEAEINT7I4U5Z34F,01 - Electronical Design
IEAEINT7I4U5Z324,02 - Mechanical Design
IEAEINT7I4X22YPV,Week 47
IEAEINT7I4VQ7QJ7,Mechanical Analysis
IEAEINT7I4VQ7QLK,Procedureas
IEAEINT7I4X5A3OE,Y21W48
IEAEINT7I4VJWNFC,01 - Inspection Preparation
IEAEINT7I4U6AKRW,06 - SR810 - Switchroom TS704 Sub 6.6kV SR810
IEAEINT7I4U6ALXS,11 - BLD505 - Building Store Room MSF BLD505
IEAEINT7I4U6AL6O,12 - BLD503 - Building Com Room MSF BLD503
IEAEINT7I4U6AWJK,23 - BLD065 - Building Rail Administration BLD065
IEAEINT7I4VQ7PTV,Test
IEAEINT7I4VT6M76,02 - Load Estimation
IEAEINT7I4U5RU7T,01 - BLD220 - Building Lube Facility Amen BLD220
IEAEINT7I4UOEEFF,Project Preparation
IEAEINT7I4U5R2QM,02 - SR806 - Switchroom East Yard Svce 415V SR806
IEAEINT7I4U5R22S,03 - BLD232 - Building FI Major Projects Admin BLD232
IEAEINT7I4U5R3LR,04 - SR808 - Switchroom Wharf 6.6kV SR808
IEAEINT7I4X5A5FV,Y21W49
IEAEINT7I4XV5YL3,Week 46
IEAEINT7I4UAB46T,Commercial Proposals
IEAEINT7I4X5CMPY,Meeting Minutes
IEAEINT7I4UOEEYU,Project Development
IEAEINT7I4UWF4GO,Inspection Training
IEAEINT7I4VDABTO,Mechanical Certification
IEAEINT7I4VT6XJC,06 - Connection Design
IEAEINT7I4VDABRY,Structural Certification
IEAEINT7I4VQ7QKW,Railroad Equipment
IEAEINT7I4VQ7QEZ,Tags
IEAEINT7I4VQ7QLR,Inspections
IEAEINT7I4VQ7QGC,Structural Analysis
IEAEINT7I4U6ALJM,09 - SR809 - Switchroom Wharf Svce 415V SR809
IEAEINT7I4U6AVQS,18 - STH YARD PREP - Building South Yard Prep
IEAEINT7I4U6AVKI,17 - WKSP001 - Building Operations Workshop WKSP001
IEAEINT7I4U6AV3J,20 - SR814 - Switchroom CD4 6.6kV SR814
IEAEINT7I4U6ALCL,08 - SR824 - Switchroom Reclaim 6.6kV SR824
IEAEINT7I4U6ALQF,10 - SR816 - Switchroom G&H Berth 6.6kV SR816
IEAEINT7I4U6AXIJ,29 - BLD039 - Building OCRS Small Shed BLD039
IEAEINT7I4U5Z663,05 - SR807 - Switchroom East Yard 6.6kV SR807
IEAEINT7I4U6AMLX,15 - SR819 - Switchroom TS897 Sub 6.6kV SR819
IEAEINT7I4U6AMSK,16 - SR812 - Switchroom Overland 6.6kV SR812
IEAEINT7I4VT6XDH,05 - Results Analysis
IEAEINT7I4U6AVYP,19 - FUELLING FACILITY NP MAINDEPOT - Fuelling Facility NP Main Depot
IEAEINT7I4U6AWTJ,25 - SR821 - Switchroom VVVF Drive Sttn 415V SR821
IEAEINT7I4U6AW6H,27 - BG003 - Building Sewage WWTP3 BG003
IEAEINT7I4U6AWDK,22 - SR820 - Switchroom CD5 415V SR820
IEAEINT7I4U6AWYL,26 - SR822 - Switchroom TS910 6.6kV SR822
IEAEINT7I4VT6WZ4,04 - Global Simulation
IEAEINT7I4UKG6GG,J227 - AngloAmerican Borehole Pump
IEAEINT7I4UOEFFP,Scope of Work Definition
IEAEINT7I4UOEGIF,Review and Approval
IEAEINT7I4UC6O5J,J228 - Rail Clips Guarding
IEAEINT7I4VCS3XQ,Team Minutes
IEAEINT7I4XW2MHC,J251 - Pressure Vessels
IEAEINT7I43NJJKK,01. Field Inspection
IEAEINT7I42FS7BU,Administrative
IEAEINT7I42FS7DZ,Administrative
IEAEINT7I4ZZZ2F7,Y22W13
IEAEINT7I4YB7KUZ,Y21W50
IEAEINT7I4YB7XEX,P103 - Process Evolution Cert
IEAEINT7I4YCDR5X,J263 - Selma Jetty Structural Inspection
IEAEINT7I4YEJUSX,P104 - Hitachi ZX135US-5B 4WD
IEAEINT7I4YGE2M7,07 - Update Design
IEAEINT7I4YG6OVF,Expenses
IEAEINT7I425UBHN,J310 - (ADM) Adaptor Brackets Certification
IEAEINT7I426SCDS,J311 - (ADM) CAPEX-OPEX Monthly Report
IEAEINT7I4YTDT3P,J231* - Pipe Clamp Reinforcement
IEAEINT7I4YXJBVE,Birthdays
IEAEINT7I4ZJMKZA,Y22W09
IEAEINT7I4YPTMXR,30 - BLD600 - MOCRS
IEAEINT7I4YQGEIQ,Development
IEAEINT7I4YQ4JSY,Y22W02
IEAEINT7I4YQGKMM,Development
IEAEINT7I4YQGEG6,Administrative
IEAEINT7I4YQGGO2,Development
IEAEINT7I4YQGGNJ,Administrative
IEAEINT7I4YQGJ4I,Development
IEAEINT7I43RY7J6,J320 - (ADM) Stress Measurement of Car Dumper Cell
IEAEINT7I43RY7KY,J318 - (ADM) Creation of blueprint for coal handling and processing infrastructure
IEAEINT7I4YQHNZ3,Development
IEAEINT7I4YQHNW2,Administrative
IEAEINT7I43RY7KN,J319 - (ADM) SHMS for the coal handling and processing infrastructure
IEAEINT7I46LVDTU,J355 - (ADM) Kestrel Bore Hole Pump Application
IEAEINT7I43RY7OH,J322 - (ADM) SHMS for coal handling tunnel
IEAEINT7I45Z32WD,Y22W45
IEAEINT7I4YU4TP2,Y22W03
IEAEINT7I4YSU3QZ,Administrative
IEAEINT7I4ZFLYRL,Y22W07
IEAEINT7I4VT67YQ,08 - Reporting
IEAEINT7I4YUXWUL,Development
IEAEINT7I4YSFACU,Financial estimates
IEAEINT7I4U5Z345,03 - Integration
IEAEINT7I4Y4UJQ7,J241 - (ADM) Visy Recycling-MRF Upgrade
IEAEINT7I4YEJU4B,J264 - Cable Drum Stands Design
IEAEINT7I4ZZD47J,AIMS Framework Development
IEAEINT7I4Y7CDOR,Administrative
IEAEINT7I46KKL37,J350 - (ADM) FEA of a Hitachi ZX65 Hi rail machine
IEAEINT7I46ADX4W,J345 - (ADM) Spark Tender - Temporary Utility Brackets
IEAEINT7I4YXJBQS,Company Holidays
IEAEINT7I4YXTEOA,Calendars
IEAEINT7I4Y4UORQ,Administrative
IEAEINT7I4YQGJMB,Development
IEAEINT7I4YYUBOB,Nicolas Yaya
IEAEINT7I4YYUBNC,Leonardo Blanco
IEAEINT7I4YYUBL7,Alejandro Duarte
IEAEINT7I4Y4UWLB,J272 - (ADM) 2021 Structural Statutory Inspection
IEAEINT7I4YXGYXO,Y22W04
IEAEINT7I4YZODKH,Y22W05
IEAEINT7I42KMAPV,J301 - (ADM) Mooka Staging Facility Inspection
IEAEINT7I4Y3EFKB,Administrative
IEAEINT7I4Y5R6FQ,Y22W06
IEAEINT7I4Y5S7YM,Workload
IEAEINT7I4ZGHR7F,Administrative
IEAEINT7I4YQGKKP,Administrative
IEAEINT7I4Y4UOY3,Administrative
IEAEINT7I4Y4UNI3,Administrative
IEAEINT7I4Y5VPXW,J273 - Rail Clip Guarding Machine
IEAEINT7I4Y4UOC2,Administrative
IEAEINT7I4UOOSN4,J208 - Rigging Points certification - W Hotel
IEAEINT7I4ZDIHXQ,Administrative
IEAEINT7I4ZDITXZ,Administrative
IEAEINT7I4ZDIMJM,Administrative
IEAEINT7I4ZDIPJS,Adminisrative
IEAEINT7I4ZDIM2Y,01. Inspection Report
IEAEINT7I4ZDINZS,Administrative
IEAEINT7I4ZDISJT,01. Field Inspection
IEAEINT7I4ZDISOC,02. Report
IEAEINT7I4YTEA7W,J217 - Timber Shed
IEAEINT7I4XJI2K7,J250 - Monorail Investigation
IEAEINT7I4VQ7ORW,J240 - Shore Trench
IEAEINT7I4UAYLBM,J229 - Sojitz - TLO Carrier Frame
IEAEINT7I4UPZ3PJ,J230 - Hitachi ZX75
IEAEINT7I4VDAA6R,J235 - UoM - Theatre Lift
IEAEINT7I4UAYJWF,J227 - AngloAmerican Borehole Pump
IEAEINT7I4WNTJSA,J245 - Skid Frame
IEAEINT7I4WPV7VD,J247 - Nepean Skid
IEAEINT7I4YFFXK6,J259 - Filling System Frame
IEAEINT7I4YNBRID,J265 - BHP 5Y Sfty Insp SIM CVI Fuel Fac FUELNP004
IEAEINT7I4Z2JT2M,J292 - Transformer Tow Hitch
IEAEINT7I42MJRK7,J300 - BHP 5Y Sfty Insp CVI
IEAEINT7I42KL3OH,J301 - Mooka Staging Facility Inspection
IEAEINT7I42KMKT3,Y22W16
IEAEINT7I4ZLZKSO,J277 - (ADM) Rail Cleaning Device
IEAEINT7I4ZLZQDP,J283 - (ADM) Next generation Continuous Miner
IEAEINT7I4ZLZPTL,Administrative
IEAEINT7I4ZLZPNJ,J278 - (ADM) Berth Girder SHM
IEAEINT7I4ZLZPV3,Administrative
IEAEINT7I4WNTOGQ,J246 - Komatsu PW148-8
IEAEINT7I44ML5VD,J332 - (ADM) Meteorological Tower Inspection
IEAEINT7I4ZNMODL,J286 - (ADM) Conveyors and Transfer Structures Proposal
IEAEINT7I4ZNMOIW,J287 - (ADM) Nelson Point Structural Health Monitoring Trial
IEAEINT7I4YFULIK,J260 - Noti Automation
IEAEINT7I42FS7AQ,Administrative
IEAEINT7I44U6EU4,J336 - (ADM) SHM for bhp's mining and port operations
IEAEINT7I4ZSYUEU,858542228: Work request
IEAEINT7I4ZSZKBY,Y22W11
IEAEINT7I4ZNETCZ,Y22W10
IEAEINT7I425AFBV,J309 - (ADM) Premron Bolts
IEAEINT7I5CFJNWR,Q389 - Load and Unload Shuttles and Frames FEA
IEAEINT7I4ZVH3LQ,Y22W12
IEAEINT7I4Z3DAS2,Administrative
IEAEINT7I42QAWCL,J306 - (ADM) Incinerator Recovery Conveyor
IEAEINT7I42KMKXC,Y22W17
IEAEINT7I44LN5TS,Y22W34
IEAEINT7I43ENXGS,J313 - Hy Performance Valves FEA
IEAEINT7I4Z7N2H2,Administrative
IEAEINT7I4Z7N2PB,Administrative
IEAEINT7I42PJVI2,J305 - Conveyor Bootend FEA
IEAEINT7I42BFM2G,Y22W15
IEAEINT7I42TTKMN,J307 - (ADM) Beak Aluminium Alloy Substitution
IEAEINT7I44MGXWQ,J333 - BLD065 Inspection
IEAEINT7I42FS66T,Administrative
IEAEINT7I42FS7AA,Administrative
IEAEINT7I4XWJLY3,J254 - OKA Cartridge
IEAEINT7I42HTLBH,J300 - 5Y Sfty Insp CVI Bldg Large BLD064 *SA*
IEAEINT7I42HTMPD,Administrative
IEAEINT7I4YTEAUJ,J218 - PMI & WIN Development
IEAEINT7I42K3EH6,Administrative
IEAEINT7I42K3YER,Administrative
IEAEINT7I42PJX5X,J305 - (ADM) Conveyor Bootend FEA
IEAEINT7I42N2MYO,Y22W18
IEAEINT7I42FS37K,J301 - 5Y Sfty Insp SIM CVI MSF Meeting BLD501
IEAEINT7I4WLBI5M,J244 - Vehicle Braking Application
IEAEINT7I42FS4CS,J301 - 5Y Sfty Insp SIM CVI MSF Office BLD500
IEAEINT7I42FS355,J301 - 5Y Sfty Insp SIM CVI MSF First Aid BLD502
IEAEINT7I42FS4F2,J301 - 5Y Sfty Insp SIM CVI Ablution BLD504
IEAEINT7I42FS4JB,J301 - 5Y Sfty Insp SIM CVI MSF Comms BLD503
IEAEINT7I42QIH2W,J265 - (ADM) BHP 5Y Sfty Insp SIM CVI Fuel Fac
IEAEINT7I42QIKFZ,01. Field Inspection
IEAEINT7I4YQGGTC,J263 - (ADM) Hitachi ZX135US-5B 4WD
IEAEINT7I43O4K7M,Y22W27
IEAEINT7I42TTKIH,J307 - Beak Aluminium Alloy Substitution
IEAEINT7I42ZGWBA,Y22W21
IEAEINT7I425BAIC,Y22W22
IEAEINT7I4U5RIKM,J232 - Structural Integrity Inspections of Buildings
IEAEINT7I43ES5NU,J312 - 5Y Sfty Insp CVI Bldg 900-904 & SR001-RM
IEAEINT7I4ZLZP3N,J282 - (ADM) Cable Bolts (6m) R&D for Improvements
IEAEINT7I43YILB3,31 - BLD042
IEAEINT7I5B5YC6C,Richard´s Business Expenses
IEAEINT7I4YNBRM2,J265 - BHP 5Y Sfty Insp SIM CVI Fuel Fac FI Bowser
IEAEINT7I4ZLXGZK,J280 - 300 Tonne Bin Upgrade
IEAEINT7I42K3WSW,J304 - Ore cars inspection at Nelson Point
IEAEINT7I4YFFD5I,J258 - Selma Jetty Structural Inspection
IEAEINT7I4YFEO37,J265 - BHP 5Y Sfty Insp SIM CVI Fuel Fac FUEL001
IEAEINT7I4YNBRE2,J265 - BHP 5Y Sfty Insp SIM CVI Fuel Fac FUEL003
IEAEINT7I4YNBQ3F,J265 - BHP 5Y Sfty Insp SIM CVI Fuel Fac FUEL002
IEAEINT7I4YNBRHN,J265 - BHP 5Y Sfty Insp SIM CVI Fuel Fac FUEL004
IEAEINT7I4YPTGFK,Inspections
IEAEINT7I42YE7PI,Y22W20
IEAEINT7I42RAG6N,Y22W19
IEAEINT7I44WQXCS,5. Sales
IEAEINT7I4Y4ULS4,J253 - (ADM) Foreign Contaminants Detection on Conveyor Belts
IEAEINT7I5AZZT6R,G008 - Capability Statement Update
IEAEINT7I44H4R5Q,Y22W33
IEAEINT7I43ETIO6,01. BLD900-RM (Medium)
IEAEINT7I43ETIW4,02. BLD901-RM (Small)
IEAEINT7I43ETI3R,03. BLD902-RM (Small)
IEAEINT7I46ENHQQ,J350 - FEA of a Hitachi ZX65 Hi rail machine
IEAEINT7I43DYTGG,Y22W23
IEAEINT7I5AGTROV,3. Program Closure
IEAEINT7I43I74N7,Y22W23
IEAEINT7I43I74SI,Y22W24
IEAEINT7I43I74XM,Y22W25
IEAEINT7I43FBZTH,911271527: Work request
IEAEINT7I43SL63Y,J323 - (ADM) Tank reinforcement
IEAEINT7I4ZLZQH4,J284 - (ADM) Static Line Supports Inspection
IEAEINT7I4YTEBT5,J215 - Hyundai 170W
IEAEINT7I43XMCO7,J325 - FEA Updated Hybrid Hitachi 140W and 170W
IEAEINT7I457N2QD,Y22W46
IEAEINT7I4YFFUG5,J267 - Clean Coal Plough Design
IEAEINT7I43WSZB2,J324 - (ADM) BHP CD4 Trunnion Room Drainage
IEAEINT7I43FJ6BS,J314 - (ADM) StoreMasta Container Design
IEAEINT7I4YQGLAH,J268 - (ADM) Portable Buildings Anchoring Standard
IEAEINT7I4XFJ3S4,J248 - Grid Mesh Panels Characterization
IEAEINT7I4Y4UIZ6,J232 - (ADM) Structural Integrity Inspections of Buildings
IEAEINT7I4YTEBXU,J214 - School Lights Bars
IEAEINT7I4YTDVMB,J224 - Pre-feasibility Car Dumper PH
IEAEINT7I4ZLZQMH,J285 - (ADM) PMIs Photo Collection Support and Development
